Child Entity CIK,Child Entity,Entity Type,Industry Group,Jurisdiction,Filing Date,Parent Entity Name,Clarification,Source File
0001544347,Blackstone Real Estate Partners VII.TE.4 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-03-12,William Stein,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1544347/000154434712000001/primary_doc.xml
0001544347,Blackstone Real Estate Partners VII.TE.4 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-03-12,Gary Sumers,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1544347/000154434712000001/primary_doc.xml
0001544347,Blackstone Real Estate Partners VII.TE.4 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-03-12,Kathleen Skero,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1544347/000154434712000001/primary_doc.xml
0001544347,Blackstone Real Estate Partners VII.TE.4 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-03-12,Dennis McDonagh,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1544347/000154434712000001/primary_doc.xml
0001544347,Blackstone Real Estate Partners VII.TE.4 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-03-12,John Magliano,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1544347/000154434712000001/primary_doc.xml
0001544347,Blackstone Real Estate Partners VII.TE.4 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-03-12,Anthony Beovich,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1544347/000154434712000001/primary_doc.xml
0001544347,Blackstone Real Estate Partners VII.TE.4 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-03-12,Christopher James,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1544347/000154434712000001/primary_doc.xml
0001544347,Blackstone Real Estate Partners VII.TE.4 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-03-12,Matthew Skurbe,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1544347/000154434712000001/primary_doc.xml
0001549436,Blackstone Real Estate Partners VII.TE.5 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-05-15,Blackstone Real Estate Associates VII L.P.,"The General Partner of the Issuer (the ""GP"").",https://www.sec.gov/Archives/edgar/data/1549436/000154943612000001/primary_doc.xml
0001549436,Blackstone Real Estate Partners VII.TE.5 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-05-15,Stephen Schwarzman,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1549436/000154943612000001/primary_doc.xml
0001549436,Blackstone Real Estate Partners VII.TE.5 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-05-15,Hamilton James,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1549436/000154943612000001/primary_doc.xml
0001549436,Blackstone Real Estate Partners VII.TE.5 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-05-15,John Finley,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1549436/000154943612000001/primary_doc.xml
0001549436,Blackstone Real Estate Partners VII.TE.5 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-05-15,Laurence Tosi,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1549436/000154943612000001/primary_doc.xml
0001549436,Blackstone Real Estate Partners VII.TE.5 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-05-15,A.J. Agarwal,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1549436/000154943612000001/primary_doc.xml
0001549436,Blackstone Real Estate Partners VII.TE.5 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-05-15,Frank Cohen,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1549436/000154943612000001/primary_doc.xml
0001549436,Blackstone Real Estate Partners VII.TE.5 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-05-15,Jonathan Gray,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1549436/000154943612000001/primary_doc.xml
0001549436,Blackstone Real Estate Partners VII.TE.5 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-05-15,Robert Friedman,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1549436/000154943612000001/primary_doc.xml
0001549436,Blackstone Real Estate Partners VII.TE.5 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-05-15,Michael Nash,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1549436/000154943612000001/primary_doc.xml
0001549436,Blackstone Real Estate Partners VII.TE.5 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-05-15,William Stein,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1549436/000154943612000001/primary_doc.xml
0001549436,Blackstone Real Estate Partners VII.TE.5 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-05-15,Gary Sumers,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1549436/000154943612000001/primary_doc.xml
0001549436,Blackstone Real Estate Partners VII.TE.5 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-05-15,Kathleen Skero,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1549436/000154943612000001/primary_doc.xml
0001549436,Blackstone Real Estate Partners VII.TE.5 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-05-15,Dennis McDonagh,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1549436/000154943612000001/primary_doc.xml
0001549436,Blackstone Real Estate Partners VII.TE.5 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-05-15,John Magliano,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1549436/000154943612000001/primary_doc.xml
0001549436,Blackstone Real Estate Partners VII.TE.5 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-05-15,Anthony Beovich,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1549436/000154943612000001/primary_doc.xml
0001549436,Blackstone Real Estate Partners VII.TE.5 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-05-15,Christopher James,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1549436/000154943612000001/primary_doc.xml
0001549436,Blackstone Real Estate Partners VII.TE.5 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-05-15,Matthew Skurbe,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1549436/000154943612000001/primary_doc.xml
0001552553,Blackstone Real Estate Partners VII.TE.6 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-06-27,Blackstone Real Estate Associates VII L.P.,"The General Partner of the Issuer (the ""GP"").",https://www.sec.gov/Archives/edgar/data/1552553/000155255312000001/primary_doc.xml
0001552553,Blackstone Real Estate Partners VII.TE.6 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-06-27,Stephen Schwarzman,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1552553/000155255312000001/primary_doc.xml
0001552553,Blackstone Real Estate Partners VII.TE.6 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-06-27,Hamilton James,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1552553/000155255312000001/primary_doc.xml
0001552553,Blackstone Real Estate Partners VII.TE.6 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-06-27,John Finley,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1552553/000155255312000001/primary_doc.xml
0001552553,Blackstone Real Estate Partners VII.TE.6 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-06-27,Laurence Tosi,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1552553/000155255312000001/primary_doc.xml
0001552553,Blackstone Real Estate Partners VII.TE.6 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-06-27,A.J. Agarwal,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1552553/000155255312000001/primary_doc.xml
0001552553,Blackstone Real Estate Partners VII.TE.6 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-06-27,Frank Cohen,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1552553/000155255312000001/primary_doc.xml
0001552553,Blackstone Real Estate Partners VII.TE.6 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-06-27,Jonathan Gray,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1552553/000155255312000001/primary_doc.xml
0001552553,Blackstone Real Estate Partners VII.TE.6 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-06-27,Robert Friedman,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1552553/000155255312000001/primary_doc.xml
0001552553,Blackstone Real Estate Partners VII.TE.6 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-06-27,Michael Nash,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1552553/000155255312000001/primary_doc.xml
0001552553,Blackstone Real Estate Partners VII.TE.6 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-06-27,William Stein,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1552553/000155255312000001/primary_doc.xml
0001552553,Blackstone Real Estate Partners VII.TE.6 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-06-27,Gary Sumers,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1552553/000155255312000001/primary_doc.xml
0001552553,Blackstone Real Estate Partners VII.TE.6 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-06-27,Kathleen Skero,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1552553/000155255312000001/primary_doc.xml
0001552553,Blackstone Real Estate Partners VII.TE.6 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-06-27,Dennis McDonagh,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1552553/000155255312000001/primary_doc.xml
